@relation dataset

@attribute urban_degree {0, 1, 2}
@attribute house_rooms real
@attribute housing_tenure {0, 1, 2, 3}
@attribute family_members real
@attribute equivalent_income real
@attribute invoices_overdue {0, 1}
@attribute afford_holidays {0, 1}
@attribute afford_meal {0, 1}
@attribute afford_unexpected {0, 1}
@attribute have_phone {0, 1}
@attribute have_tv {0, 1}
@attribute have_computer {0, 1}
@attribute have_washer {0, 1}
@attribute have_car {0, 1}
@attribute have_shower {0, 1}
@attribute have_wc {0, 1}
@attribute problem_light {0, 1}
@attribute problem_noise {0, 1}
@attribute problem_pollution {0, 1}
@attribute problem_vandal {0, 1}
@attribute problem_leaks {0, 1}
@attribute afford_heating {0, 1}


@data
1,3.0,1,1.0,3855.0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
1,5.0,1,3.0,8760.28,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,3,2.0,8253.8,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0
1,5.0,1,3.0,16129.95,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0
1,6.0,0,1.0,29530.0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,0,1.0,6812.03,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,4.0,1,2.0,7293.53,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1
1,5.0,0,4.0,24743.62,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,6.0,0,4.0,9441.0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
1,3.0,1,3.0,12827.0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1
1,6.0,1,3.0,9641.16,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,0,2.0,11793.87,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,6.0,1,4.0,22492.88,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,4.0,1,2.0,3826.93,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1
1,6.0,1,6.0,7600.85,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1
1,5.0,0,4.0,11284.61,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
0,5.0,1,3.0,7662.75,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1
0,6.0,1,3.0,41379.0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
2,4.0,1,1.0,0.0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1
0,5.0,1,3.0,11370.1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
0,5.0,1,3.0,15904.51,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
0,4.0,0,4.0,16709.12,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
0,4.0,1,1.0,15560.4,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1
0,6.0,1,2.0,15808.87,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1
0,3.0,2,1.0,19731.0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
0,6.0,1,2.0,34240.6,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1
0,4.0,0,3.0,5049.2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
0,5.0,1,2.0,17642.87,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1
