@relation dataset

@attribute urban_degree {high_pop, low_pop, medium_pop}
@attribute house_rooms real
@attribute housing_tenure {mortgage, property, rent, rent_low_or_free_transfer}
@attribute family_members real
@attribute equivalent_income real
@attribute invoices_overdue {no, yes}
@attribute afford_holidays {no, yes}
@attribute afford_meal {no, yes}
@attribute afford_unexpected {no, yes}
@attribute have_phone {no, yes}
@attribute have_tv {no, yes}
@attribute have_computer {no, yes}
@attribute have_washer {no, yes}
@attribute have_car {no, yes}
@attribute have_shower {no, yes}
@attribute have_wc {no, yes}
@attribute problem_light {no, yes}
@attribute problem_noise {no, yes}
@attribute problem_pollution {no, yes}
@attribute problem_vandal {no, yes}
@attribute problem_leaks {no, yes}
@attribute afford_heating {no, yes}


@data
high_pop,6.0,mortgage,5.0,17010.43,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes
high_pop,5.0,property,1.0,17443.5,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes
high_pop,6.0,property,4.0,18871.16,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes
high_pop,4.0,property,3.0,23511.65,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,no
high_pop,4.0,property,1.0,10589.2,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4.0,property,1.0,0.0,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4.0,mortgage,3.0,19528.7,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4.0,rent,2.0,7466.64,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,6.0,property,2.0,23903.17,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,6.0,mortgage,2.0,10447.27,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no
high_pop,5.0,property,5.0,14044.57,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes
high_pop,5.0,mortgage,2.0,12983.67,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes
high_pop,5.0,rent,1.0,7735.4,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes
high_pop,4.0,property,1.0,1965.2,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,3.0,property,1.0,3855.0,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no
low_pop,5.0,property,3.0,8760.28,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5.0,rent_low_or_free_transfer,2.0,8253.8,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,no,yes,no
low_pop,5.0,property,3.0,16129.95,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no
low_pop,6.0,mortgage,1.0,29530.0,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5.0,mortgage,1.0,6812.03,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,4.0,property,2.0,7293.53,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes
low_pop,5.0,mortgage,4.0,24743.62,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,6.0,mortgage,4.0,9441.0,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,3.0,property,3.0,12827.0,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,yes
low_pop,6.0,property,3.0,9641.16,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5.0,mortgage,2.0,11793.87,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,6.0,property,4.0,22492.88,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no
low_pop,4.0,property,2.0,3826.93,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes
low_pop,6.0,property,6.0,7600.85,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5.0,mortgage,4.0,11284.61,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,5.0,property,3.0,7662.75,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,6.0,property,3.0,41379.0,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
medium_pop,4.0,property,1.0,0.0,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes
high_pop,5.0,property,3.0,11370.1,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,5.0,property,3.0,15904.51,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4.0,mortgage,4.0,16709.12,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4.0,property,1.0,15560.4,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes
high_pop,6.0,property,2.0,15808.87,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no,yes
high_pop,3.0,rent,1.0,19731.0,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,6.0,property,2.0,34240.6,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes
high_pop,4.0,mortgage,3.0,5049.2,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes
high_pop,5.0,property,2.0,17642.87,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,yes
high_pop,5.0,mortgage,4.0,39567.1,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,5.0,mortgage,2.0,26540.47,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes
high_pop,4.0,mortgage,2.0,20506.6,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,6.0,rent,1.0,12402.4,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes
high_pop,5.0,property,1.0,11767.3,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no
medium_pop,5.0,property,3.0,19918.45,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes
medium_pop,6.0,mortgage,5.0,18897.15,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes
medium_pop,6.0,property,3.0,13559.55,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
medium_pop,5.0,rent_low_or_free_transfer,2.0,9094.12,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes
medium_pop,6.0,property,4.0,12020.07,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
medium_pop,4.0,property,1.0,8868.0,no,no,yes,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,yes
medium_pop,5.0,rent_low_or_free_transfer,2.0,16937.0,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
medium_pop,4.0,property,2.0,15312.27,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
medium_pop,4.0,property,1.0,8867.3,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes
high_pop,3.0,rent_low_or_free_transfer,2.0,18005.2,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,3.0,property,2.0,8979.67,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,yes
high_pop,6.0,property,1.0,6814.1,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes
high_pop,4.0,rent_low_or_free_transfer,5.0,6969.25,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,no,yes
high_pop,3.0,property,3.0,25665.56,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,6.0,property,2.0,10630.67,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes
high_pop,6.0,property,3.0,11179.85,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4.0,property,1.0,22429.1,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,no,yes
high_pop,2.0,property,2.0,6640.67,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes
high_pop,4.0,property,2.0,20591.87,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4.0,mortgage,4.0,29096.57,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
high_pop,3.0,mortgage,1.0,11913.4,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4.0,mortgage,3.0,13191.39,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4.0,mortgage,4.0,11357.38,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no
high_pop,3.0,property,2.0,13059.9,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,3.0,mortgage,1.0,8008.9,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,5.0,mortgage,3.0,16344.61,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4.0,property,4.0,7656.17,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
medium_pop,5.0,mortgage,1.0,3464.5,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
medium_pop,4.0,mortgage,3.0,21858.35,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5.0,mortgage,5.0,10781.71,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,4.0,property,2.0,7112.03,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes
low_pop,4.0,rent_low_or_free_transfer,1.0,921.5,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5.0,property,4.0,14246.72,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5.0,property,2.0,9303.13,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5.0,rent_low_or_free_transfer,2.0,10205.67,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,4.0,rent_low_or_free_transfer,4.0,7233.74,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,4.0,mortgage,2.0,8986.8,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5.0,mortgage,4.0,15895.8,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes
low_pop,6.0,property,3.0,6119.5,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5.0,rent_low_or_free_transfer,4.0,3839.39,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,3.0,mortgage,4.0,13077.71,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no
low_pop,5.0,property,3.0,11373.55,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes
low_pop,5.0,property,3.0,6888.7,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes
