@relation dataset

@attribute games real
@attribute starts real
@attribute min real
@attribute fgm real
@attribute fgp real
@attribute 3pm real
@attribute 3pp real
@attribute ftm real
@attribute ftp real
@attribute off real
@attribute def real
@attribute ast real
@attribute stl real
@attribute to real
@attribute blk real
@attribute pf real
@attribute dq real
@attribute tf real


@data
?,?,?,?,?,0.0,0.0,2.16,?,3.01,?,1.84,0.57,1.9,2.54,?,?,0.06
65.0,?,17.92,?,0.45,1.38,0.39,0.54,0.73,0.8,?,?,?,?,0.37,?,0.02,0.02
63.0,28.0,16.59,?,0.52,0.0,0.0,0.3,?,1.97,3.03,?,0.48,0.59,?,?,0.0,0.0
78.0,78.0,34.24,7.91,0.56,0.0,0.0,3.65,?,2.32,?,?,?,?,?,3.46,0.05,?
70.0,70.0,36.07,8.57,0.52,?,0.36,6.71,0.8,?,7.91,?,0.61,2.41,?,2.43,0.01,0.03
1.0,0.0,?,1.0,?,0.0,0.0,2.0,1.0,1.0,?,?,1.0,?,0.0,2.0,0.0,?
67.0,?,16.7,2.57,0.43,0.28,0.32,1.15,?,0.25,0.87,?,0.36,1.03,0.04,0.72,0.0,?
76.0,?,30.22,5.42,?,0.0,0.0,2.26,0.74,2.36,3.71,1.45,?,1.72,?,3.05,0.01,0.0
82.0,?,30.28,4.99,?,1.0,?,2.02,0.65,0.84,2.55,?,?,?,0.35,2.73,0.05,0.01
58.0,52.0,30.0,?,0.49,0.14,0.26,1.47,0.64,0.78,2.45,2.66,1.57,0.91,0.24,1.38,0.0,0.0
21.0,0.0,4.57,0.43,0.35,?,0.0,0.05,0.17,0.57,0.62,0.05,0.05,0.1,0.14,?,0.0,?
?,?,12.63,1.06,?,?,?,0.71,0.6,?,?,0.44,0.27,0.44,0.08,2.21,0.0,0.0
82.0,82.0,35.59,7.01,?,2.55,0.4,?,0.82,0.66,1.96,5.29,0.84,2.83,0.17,2.43,?,?
45.0,?,11.56,1.96,0.37,0.58,0.27,?,0.87,0.2,0.64,1.96,?,1.02,?,?,0.0,0.0
57.0,0.0,?,1.19,0.46,?,0.29,0.84,0.67,?,?,0.33,?,0.33,0.18,?,?,0.0
50.0,?,21.16,?,0.38,?,?,1.38,?,?,1.9,?,0.66,?,0.12,?,?,0.0
48.0,1.0,?,?,?,0.0,0.0,0.69,?,1.1,2.58,0.46,0.31,0.9,0.25,1.94,0.02,?
82.0,7.0,20.76,3.09,0.43,0.76,?,?,?,0.37,1.87,1.32,?,?,0.38,1.57,0.0,0.02
?,73.0,38.82,9.81,0.46,1.36,0.33,?,?,1.07,4.29,5.0,1.55,?,0.27,?,0.0,0.19
74.0,4.0,20.18,3.36,0.44,?,?,0.91,?,?,2.46,1.19,0.46,0.65,0.15,1.15,0.0,0.0
?,74.0,?,6.08,0.43,?,?,?,?,1.41,4.82,2.11,1.57,2.16,0.32,?,0.0,?
82.0,64.0,32.96,4.34,0.41,?,?,1.49,0.84,?,2.45,1.41,0.44,?,0.83,1.48,?,0.01
65.0,?,30.42,6.03,?,0.0,0.0,?,0.74,2.72,?,1.05,0.54,?,?,?,0.03,0.05
?,20.0,?,?,0.44,?,0.22,2.25,0.8,0.38,1.87,4.49,0.87,1.83,?,?,0.0,0.03
68.0,39.0,26.72,4.03,?,?,0.4,?,0.8,0.34,1.76,?,0.69,1.46,?,?,0.01,?
74.0,74.0,?,?,0.48,0.03,?,1.05,0.64,3.36,8.39,2.51,?,1.23,1.97,?,0.0,?
29.0,0.0,?,0.48,0.39,0.1,0.33,0.59,0.94,?,0.76,0.83,?,0.24,0.1,1.93,0.03,?
?,0.0,12.62,?,0.4,0.6,0.3,0.76,0.83,0.38,?,?,0.37,0.31,0.29,1.16,0.0,0.0
?,?,?,1.24,0.4,?,0.0,0.46,0.62,?,1.37,0.46,0.39,0.34,?,1.51,?,0.01
25.0,0.0,4.84,?,0.36,0.16,?,?,1.0,0.16,0.32,0.24,?,?,0.0,0.52,?,0.0
?,?,15.91,?,?,0.31,0.27,?,0.85,0.31,?,2.96,0.72,?,?,1.33,0.0,0.02
?,74.0,30.8,5.79,0.43,1.59,?,3.43,?,0.44,3.47,3.15,0.71,1.41,0.24,?,0.0,0.04
?,31.0,25.09,?,0.45,0.97,0.37,?,0.67,0.97,3.56,1.26,?,1.27,0.23,1.62,0.0,?
73.0,?,24.74,2.49,0.4,1.03,0.32,1.12,0.75,0.34,?,3.37,1.25,1.68,?,?,?,?
51.0,?,22.82,2.14,0.57,0.0,?,?,0.73,2.24,?,0.31,?,1.78,1.12,?,0.02,0.06
65.0,64.0,?,6.34,?,0.62,0.27,1.98,0.81,?,3.92,?,0.71,1.66,0.75,2.83,0.05,0.0
51.0,0.0,7.55,?,?,0.04,0.4,?,?,0.35,0.86,?,0.14,?,?,0.49,0.0,0.0
34.0,?,7.74,?,0.39,0.0,?,0.29,0.4,?,?,0.18,0.06,0.29,?,1.24,?,0.0
?,0.0,4.71,0.33,?,0.0,0.0,?,?,0.21,0.38,0.17,0.13,0.21,?,0.88,0.0,0.0
43.0,0.0,?,1.09,0.37,?,0.24,0.3,0.62,?,0.86,?,?,0.74,0.02,1.05,?,0.0
?,37.0,27.7,4.95,0.48,0.61,?,1.95,?,0.54,1.99,5.68,1.03,2.66,?,1.21,?,0.01
75.0,?,?,2.43,0.59,0.01,0.25,0.99,0.69,2.03,3.09,?,0.49,0.84,?,3.07,0.05,?
80.0,80.0,32.06,4.61,?,1.03,0.39,1.74,0.74,0.38,2.01,?,1.36,2.13,0.15,2.23,0.05,?
5.0,?,?,0.6,0.3,?,?,0.0,?,0.0,0.6,1.4,0.0,0.8,0.0,1.0,?,0.0
14.0,0.0,?,0.5,0.3,?,0.22,0.36,0.71,?,0.57,?,0.0,0.43,0.14,?,0.0,0.0
?,4.0,15.36,?,0.32,0.89,?,?,0.84,?,1.62,0.96,0.31,?,0.22,1.11,0.0,?
?,0.0,31.13,?,0.45,2.06,0.38,3.42,0.86,?,2.11,3.01,?,?,0.15,1.67,0.0,0.03
?,2.0,11.22,1.68,0.5,0.0,?,0.49,?,0.86,1.68,?,?,0.24,?,1.54,0.0,0.0
7.0,0.0,9.0,1.14,0.38,0.0,?,?,0.59,0.57,?,?,0.0,1.86,0.14,?,0.0,0.14
80.0,77.0,36.19,6.6,?,2.08,?,2.21,0.89,0.6,3.84,5.9,1.9,3.05,0.24,3.15,0.05,0.0
?,79.0,?,?,?,0.0,?,1.18,?,2.91,?,0.78,?,1.5,?,3.07,?,0.06
?,47.0,23.25,2.42,0.62,0.02,0.33,?,0.6,2.33,4.95,0.56,0.27,1.11,?,2.78,?,0.04
51.0,?,?,?,0.5,0.12,?,0.67,0.61,?,?,?,0.55,0.82,0.12,1.78,0.0,0.0
?,?,?,5.49,0.41,?,0.28,3.19,0.82,0.69,2.87,7.97,?,2.81,?,?,0.0,0.12
?,1.0,?,2.26,0.44,0.0,?,?,0.7,1.87,1.93,?,?,0.98,?,?,?,?
2.0,0.0,?,1.0,0.5,0.0,?,0.5,0.5,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,?
36.0,2.0,?,1.72,?,0.44,?,0.5,0.58,0.28,?,1.08,0.31,0.81,0.08,1.08,0.0,0.03
?,4.0,13.2,1.99,0.46,0.42,0.31,0.67,0.82,0.49,2.03,0.49,?,0.7,?,1.65,?,0.0
75.0,66.0,30.45,3.99,0.41,1.79,0.37,1.24,0.78,0.68,4.57,2.69,1.07,1.6,0.28,1.84,0.0,0.0
70.0,?,37.91,?,0.47,0.46,0.39,?,?,1.87,5.44,2.04,0.94,1.91,0.89,1.84,0.0,?
?,65.0,?,3.31,?,?,0.25,1.92,?,?,?,?,?,0.81,0.23,?,0.0,0.0
