@relation dataset

@attribute games real
@attribute starts real
@attribute min real
@attribute fgm real
@attribute fgp real
@attribute 3pm real
@attribute 3pp real
@attribute ftm real
@attribute ftp real
@attribute off real
@attribute def real
@attribute ast real
@attribute stl real
@attribute to real
@attribute blk real
@attribute pf real
@attribute dq real
@attribute tf real


@data
?,76.0,39.04,10.11,?,1.7,0.33,7.8,0.77,?,6.36,8.57,1.63,?,1.0,1.57,?,0.07
4.0,0.0,?,1.5,0.3,0.5,0.33,1.0,?,?,0.5,1.25,0.75,1.25,0.0,0.75,0.0,0.0
66.0,?,?,7.24,?,?,0.34,2.94,0.65,2.06,6.35,1.27,?,1.38,0.32,2.71,?,0.05
?,2.0,10.56,1.26,0.44,0.0,?,0.67,?,?,1.41,0.62,?,0.69,?,?,?,0.0
14.0,0.0,?,?,?,0.0,?,?,0.68,0.57,0.79,?,?,0.43,0.0,0.71,0.0,?
76.0,?,?,7.37,?,0.0,?,?,0.68,?,?,1.8,0.83,1.79,1.3,2.7,0.01,0.0
81.0,?,?,4.47,0.47,?,0.32,?,0.74,?,3.68,1.95,?,1.3,0.49,2.2,?,0.02
70.0,37.0,25.64,1.97,0.44,0.3,0.3,?,0.63,1.86,2.26,1.44,0.89,1.09,1.01,2.9,?,0.01
82.0,82.0,?,5.49,0.37,?,?,2.72,0.82,0.6,2.84,5.73,1.28,2.43,0.22,2.33,0.0,?
80.0,73.0,27.88,?,?,0.45,0.31,1.56,0.71,?,?,?,?,?,?,2.88,0.05,0.01
52.0,51.0,31.85,4.37,0.4,0.29,?,?,?,2.21,4.92,0.9,?,1.48,?,3.27,0.0,0.02
82.0,5.0,17.85,2.54,0.62,0.0,0.0,1.16,0.64,1.88,2.93,0.59,?,?,?,3.11,0.01,0.01
31.0,0.0,?,1.58,0.44,0.42,?,0.61,?,0.26,?,2.03,0.35,?,0.03,1.03,0.0,?
65.0,?,?,1.46,0.45,0.23,0.33,0.78,?,?,?,0.74,0.32,0.94,0.66,?,?,0.02
76.0,?,37.91,8.36,?,1.7,0.37,2.89,0.82,?,3.67,?,?,1.91,0.07,1.91,?,0.01
76.0,26.0,?,3.78,0.46,0.05,0.13,2.61,?,0.63,2.38,1.97,0.53,?,0.51,3.12,0.01,0.01
2.0,?,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,?,0.0,0.0,0.5,0.0,0.0
36.0,6.0,14.08,1.19,?,1.03,0.41,0.64,0.82,0.11,1.14,0.47,0.31,0.31,0.11,1.25,0.03,0.0
52.0,2.0,?,1.5,0.44,0.0,0.0,?,0.72,0.98,1.79,0.62,0.27,0.77,0.71,2.4,0.06,?
70.0,12.0,?,2.06,0.61,0.0,0.0,0.69,?,?,?,0.3,0.23,?,0.89,2.17,0.01,0.01
76.0,76.0,34.32,7.75,0.49,0.0,?,?,?,2.42,?,1.58,0.49,2.93,?,2.8,0.01,0.16
?,12.0,17.12,2.21,0.42,1.11,0.37,?,0.6,0.25,?,0.68,0.37,?,0.11,1.4,?,0.0
?,?,16.29,?,?,0.29,0.18,0.57,0.67,0.57,2.0,?,0.43,?,0.14,2.0,0.14,?
?,80.0,?,3.55,?,2.2,0.43,?,0.81,0.6,?,?,?,2.44,0.44,?,0.0,0.03
58.0,35.0,29.02,?,?,?,?,3.0,0.74,1.31,3.24,2.71,1.43,?,?,1.76,?,0.0
52.0,0.0,18.27,2.65,0.49,1.13,?,0.75,?,0.19,1.94,1.71,?,?,0.23,1.46,?,0.02
?,0.0,4.83,0.61,0.47,0.0,0.0,?,?,?,0.81,0.17,0.06,?,0.11,?,0.0,0.0
?,76.0,22.91,3.7,0.5,0.01,?,1.0,0.72,1.76,3.28,0.68,0.42,?,0.59,?,?,?
1.0,0.0,22.0,3.0,0.5,?,0.5,0.0,0.0,1.0,?,2.0,?,1.0,0.0,0.0,0.0,0.0
80.0,30.0,30.81,6.24,0.54,0.01,0.33,4.3,?,2.35,?,?,0.68,1.7,?,?,0.03,?
18.0,0.0,6.11,0.89,0.37,?,0.32,0.17,?,0.28,0.78,?,0.06,0.33,?,0.78,0.0,?
26.0,1.0,8.96,?,?,0.19,?,1.46,0.78,?,0.54,1.0,0.42,?,0.04,0.62,0.0,?
65.0,8.0,20.28,3.09,?,?,0.41,1.63,?,?,1.26,?,0.74,1.26,0.03,1.37,?,?
71.0,66.0,33.42,4.76,0.44,1.07,?,?,0.87,0.85,?,1.7,1.31,?,0.3,1.83,?,0.01
?,81.0,37.26,8.47,0.55,?,0.0,3.31,0.81,?,8.89,3.64,1.06,2.33,?,?,0.0,0.02
?,72.0,32.85,4.86,?,?,?,2.01,0.81,?,3.56,1.49,1.08,?,?,2.5,0.01,0.04
36.0,?,22.08,2.89,0.52,0.0,?,1.17,0.88,?,1.72,3.56,?,1.61,0.31,1.69,0.0,?
82.0,82.0,36.9,6.87,0.5,?,0.0,5.07,?,3.29,5.34,?,?,2.49,?,3.06,0.02,0.01
?,31.0,19.29,3.35,0.59,0.0,0.0,1.73,0.7,2.04,2.84,0.14,?,?,1.04,2.29,0.02,0.02
60.0,22.0,28.65,4.85,0.45,0.58,?,3.75,?,3.78,7.2,2.27,?,?,?,?,0.0,0.0
68.0,0.0,24.29,2.71,0.4,?,?,3.16,0.83,?,?,4.49,0.88,?,0.13,2.54,?,0.03
70.0,49.0,?,?,0.52,?,?,6.57,0.83,?,?,?,0.76,?,0.06,3.3,?,0.1
36.0,0.0,9.94,0.78,0.5,?,0.0,0.58,0.36,?,2.22,0.03,?,?,0.31,?,?,?
26.0,0.0,6.38,1.35,?,?,0.0,1.19,?,0.5,1.5,0.08,0.12,?,0.31,1.23,0.04,0.0
?,?,31.8,5.27,0.51,?,0.16,?,0.76,?,4.25,1.43,0.92,1.32,?,1.88,?,?
14.0,?,5.21,0.29,?,0.0,0.0,?,?,?,0.64,0.14,0.0,0.14,0.21,1.21,?,?
18.0,2.0,?,2.78,0.37,?,0.35,?,0.8,1.39,?,0.89,?,1.06,?,?,0.0,0.0
58.0,?,?,4.88,0.46,0.14,0.28,1.6,0.56,2.45,6.97,?,1.24,1.57,?,3.21,0.03,0.12
46.0,?,35.46,6.28,0.42,1.52,?,6.48,0.88,0.63,2.93,2.41,?,?,?,2.09,0.0,0.0
5.0,4.0,13.2,1.0,0.42,0.0,0.0,0.6,0.75,0.8,1.8,?,0.2,0.8,0.2,1.0,0.0,?
79.0,5.0,?,2.44,0.39,1.11,0.33,0.34,0.79,0.14,?,1.73,0.38,0.75,0.18,1.25,0.0,?
82.0,?,?,?,0.48,0.77,0.38,1.95,0.83,0.61,?,1.51,0.77,1.13,0.18,1.85,0.0,0.0
?,29.0,?,2.79,0.51,0.0,0.0,1.17,?,2.12,3.16,?,0.47,0.89,?,2.3,0.0,?
?,4.0,8.92,1.38,?,0.0,?,0.57,0.66,?,1.35,0.46,0.32,0.51,?,1.24,0.0,0.0
81.0,?,15.65,?,?,0.27,0.31,?,0.72,?,?,?,0.48,1.05,0.12,1.42,0.0,?
82.0,82.0,37.99,?,0.46,1.66,0.38,2.59,?,0.74,3.05,2.96,1.2,2.15,0.21,2.13,0.02,0.09
73.0,62.0,25.56,2.42,?,?,?,1.27,0.7,?,3.14,?,0.82,0.96,0.53,2.48,0.01,0.01
49.0,?,7.29,0.98,0.47,0.0,0.0,0.18,0.47,0.65,1.12,0.16,0.1,0.31,?,?,?,?
77.0,?,20.97,2.66,0.48,0.0,0.0,?,0.63,1.94,3.97,1.08,0.56,?,0.42,1.91,0.0,0.01
59.0,19.0,16.37,2.64,0.51,0.0,?,1.25,0.64,1.49,2.63,0.24,?,0.86,1.73,2.07,?,?
30.0,24.0,22.43,3.03,?,?,0.25,?,0.75,0.73,?,3.3,?,1.47,?,1.33,0.0,0.03
51.0,2.0,?,0.37,0.37,0.0,0.0,0.0,0.0,?,1.1,0.22,0.1,0.33,0.08,0.69,?,0.0
42.0,3.0,12.52,1.81,0.52,0.19,?,0.45,0.5,?,?,?,0.4,0.45,0.38,1.76,0.05,?
60.0,0.0,12.02,1.73,0.39,0.7,0.32,0.52,?,0.15,1.5,0.65,0.3,0.42,0.08,?,0.0,?
20.0,0.0,5.9,?,0.39,?,0.0,?,0.54,0.8,0.95,?,0.2,?,?,1.0,0.0,?
63.0,26.0,23.76,3.83,0.43,?,0.34,1.05,0.69,?,2.0,1.67,0.94,?,0.27,3.02,?,0.0
?,18.0,21.44,?,0.49,0.0,0.0,?,0.54,1.47,?,1.47,?,1.09,?,2.56,?,0.03
?,66.0,30.45,?,0.44,0.2,?,3.93,0.82,0.99,?,5.43,1.13,?,0.11,2.06,0.01,0.05
?,37.0,23.83,3.05,0.43,0.45,0.28,2.22,?,1.01,?,1.88,0.54,1.3,0.35,2.3,?,?
?,50.0,33.39,?,?,?,?,1.3,0.82,1.02,5.2,3.94,0.74,2.15,0.22,2.43,?,?
10.0,0.0,3.9,1.0,?,0.2,0.5,0.4,0.57,0.1,?,?,0.0,0.4,?,0.6,?,0.0
82.0,10.0,27.74,?,?,0.01,0.11,?,0.69,2.27,4.55,1.6,0.78,1.41,1.21,?,0.09,?
58.0,29.0,17.02,?,0.55,0.0,?,1.4,0.65,?,3.28,0.48,0.26,0.91,0.74,1.81,0.0,0.0
61.0,?,17.23,?,0.46,0.52,?,0.59,0.8,0.43,2.69,0.8,?,0.38,0.49,1.13,?,?
23.0,20.0,17.57,?,0.6,0.0,0.0,0.3,0.64,1.13,1.91,?,0.17,0.91,0.57,2.61,0.0,0.0
28.0,0.0,4.54,0.82,0.56,0.0,0.0,0.57,?,0.36,?,?,0.18,0.43,0.11,?,0.07,0.0
31.0,?,7.81,?,0.38,?,0.24,0.16,?,?,0.71,0.58,?,0.32,0.06,0.55,?,?
69.0,37.0,29.26,4.77,0.47,2.03,0.46,?,?,?,2.87,?,0.94,?,?,2.29,0.0,?
?,?,4.31,0.54,?,0.0,0.0,?,?,0.23,?,0.08,0.15,0.31,0.0,?,?,?
72.0,?,?,5.33,0.47,1.78,0.38,2.14,0.8,1.79,8.43,?,1.0,1.39,0.47,2.43,?,0.03
?,?,22.31,3.57,?,0.92,?,?,?,0.37,2.07,1.81,?,?,?,?,0.0,0.01
?,5.0,?,1.35,0.42,0.41,0.3,?,?,?,1.76,0.63,0.57,0.54,0.3,2.04,0.0,?
81.0,?,32.86,6.16,0.51,1.53,0.43,?,?,0.42,2.89,11.01,0.52,3.64,0.15,?,0.0,?
65.0,?,28.57,4.88,0.45,1.32,?,1.51,0.84,0.4,2.58,5.43,0.74,2.14,0.03,?,0.0,0.02
42.0,8.0,?,1.93,0.54,0.0,0.0,?,?,?,?,?,0.24,0.38,0.4,1.29,0.0,0.02
64.0,54.0,?,?,0.5,0.0,0.0,2.55,0.74,3.44,7.58,2.06,0.5,?,?,3.09,0.02,0.13
?,28.0,?,3.12,0.4,1.28,?,?,0.72,0.43,2.53,1.0,0.43,0.89,?,2.13,0.01,0.07
54.0,?,6.94,0.78,0.39,0.41,0.31,0.13,?,0.02,?,?,?,0.04,?,?,?,0.02
81.0,80.0,37.54,8.89,0.48,0.63,0.42,6.62,0.91,?,6.67,?,?,1.84,0.98,?,0.01,?
?,0.0,4.45,0.73,?,0.0,0.0,?,0.5,0.18,0.82,0.09,0.18,?,?,1.09,0.0,0.0
70.0,?,?,?,0.53,?,0.0,2.31,?,?,?,1.31,?,?,?,?,?,0.13
?,53.0,23.36,4.94,?,?,0.0,2.11,?,1.75,4.91,1.51,0.3,1.98,1.17,?,0.0,0.08
57.0,?,?,?,0.63,0.0,0.0,0.23,0.76,0.6,?,?,0.18,0.63,0.16,2.12,0.02,0.0
21.0,?,23.86,?,?,?,?,2.33,?,3.05,5.43,0.9,0.38,1.86,?,4.0,?,0.0
82.0,?,31.52,4.17,?,0.71,0.32,?,0.69,?,7.54,?,?,1.84,0.72,2.77,0.01,0.1
82.0,82.0,28.87,4.24,0.53,0.0,0.0,?,0.56,3.04,5.99,?,?,1.35,1.54,2.66,0.01,?
73.0,?,29.47,4.86,0.46,1.12,0.38,2.68,?,1.81,5.25,1.63,0.52,?,1.11,?,?,0.07
25.0,0.0,10.6,?,0.4,?,0.0,0.32,1.0,0.12,0.88,0.8,0.36,0.24,0.0,?,?,0.0
?,6.0,21.56,3.24,?,1.18,0.38,1.44,0.83,?,2.59,?,0.53,0.94,0.5,1.26,0.0,?
?,?,13.99,?,0.49,0.0,0.0,1.19,?,1.5,2.26,0.54,0.47,0.74,?,2.38,0.03,0.01
?,5.0,?,2.1,0.35,?,?,0.67,?,?,1.11,1.41,0.46,0.79,?,1.08,?,0.02
81.0,?,28.21,?,0.43,?,0.41,0.93,0.79,0.37,2.48,1.94,0.78,0.88,0.22,1.86,0.0,0.01
56.0,?,?,?,?,0.18,0.29,?,0.76,0.13,2.29,?,0.52,2.66,?,1.71,?,0.02
?,45.0,?,6.98,?,1.16,?,3.58,0.85,0.44,?,?,2.13,2.49,?,?,0.04,0.09
?,0.0,12.32,1.54,?,0.49,0.3,0.14,0.38,0.17,?,?,0.32,0.75,0.08,1.18,0.01,0.0
?,5.0,10.14,1.75,?,0.32,0.27,0.66,0.91,0.73,?,0.25,0.2,0.73,0.32,1.25,?,0.0
39.0,4.0,10.41,?,?,0.0,0.0,0.46,0.9,0.64,?,0.03,0.18,0.31,0.41,?,?,0.05
?,?,27.6,4.03,?,0.0,0.0,2.09,0.58,1.99,?,1.03,0.33,2.13,1.69,?,0.01,0.21
?,39.0,21.22,2.52,?,1.35,?,0.72,0.61,0.37,2.37,0.91,?,0.59,?,1.76,0.0,?
?,16.0,?,?,?,0.0,?,?,0.67,0.89,2.69,0.39,0.28,0.64,0.36,?,0.0,0.0
71.0,?,33.93,5.76,?,1.54,0.41,5.2,0.85,0.55,?,3.07,1.18,?,?,2.76,0.01,0.07
75.0,24.0,22.47,?,0.43,?,0.38,0.92,?,?,?,0.65,0.71,0.92,0.41,?,0.0,0.01
77.0,2.0,22.49,1.64,0.37,1.05,?,0.86,?,0.42,3.86,1.52,0.55,0.66,0.25,?,?,0.03
20.0,2.0,11.8,?,?,0.0,0.0,?,0.59,0.95,2.1,0.0,0.3,0.55,0.1,?,0.0,?
63.0,0.0,9.27,?,0.37,0.11,?,0.32,0.65,0.7,1.14,?,?,0.52,0.1,?,?,0.0
?,2.0,?,2.59,0.41,?,?,1.07,0.8,0.21,1.36,1.89,?,1.05,0.05,?,0.0,0.02
60.0,4.0,13.5,1.63,0.4,?,0.29,0.68,0.69,?,?,2.05,0.67,0.93,0.22,1.82,?,0.03
49.0,49.0,33.98,5.76,0.49,0.55,0.37,1.43,0.71,1.45,3.61,3.29,0.69,1.22,?,1.57,0.0,0.0
30.0,9.0,22.73,1.5,0.52,0.0,?,1.1,?,2.4,?,0.27,0.27,1.3,1.43,3.17,0.07,?
25.0,0.0,9.0,0.8,?,0.4,0.31,0.24,?,?,0.6,1.16,0.36,0.4,?,?,0.0,?
41.0,20.0,?,?,0.38,0.73,0.28,0.49,0.74,1.24,3.1,?,?,1.07,0.17,2.37,0.0,0.02
33.0,8.0,22.67,4.15,?,?,0.2,3.3,0.8,2.21,?,1.27,0.85,1.48,1.55,?,0.0,?
6.0,0.0,8.83,1.0,?,?,0.0,0.33,1.0,1.17,?,0.17,0.17,?,0.17,1.5,0.0,0.0
?,81.0,?,8.05,0.49,0.19,?,4.47,?,4.07,7.67,?,0.99,?,0.42,2.79,0.04,?
49.0,28.0,16.47,?,0.46,0.0,0.0,0.78,0.76,1.2,2.0,0.51,?,0.84,1.24,?,0.02,0.02
18.0,12.0,27.44,4.17,?,?,0.3,2.61,?,0.61,?,2.17,?,0.83,0.11,1.33,0.0,0.0
82.0,?,?,2.96,0.44,1.35,0.41,2.33,?,?,1.68,1.93,0.34,?,0.05,1.44,0.0,?
18.0,0.0,12.33,0.83,0.52,0.0,?,0.39,0.64,?,2.22,0.39,0.44,?,0.22,2.78,0.11,?
?,?,?,5.99,0.47,?,0.39,?,0.74,1.03,4.09,1.81,0.84,1.16,0.42,?,0.0,0.03
76.0,75.0,?,3.18,0.43,1.87,0.4,0.68,0.73,?,4.08,?,?,0.82,?,2.22,0.0,0.07
?,?,21.45,4.0,?,0.84,0.38,1.55,?,0.29,1.45,?,0.66,1.3,?,2.22,?,0.0
56.0,2.0,19.98,?,0.44,1.55,0.39,?,0.75,0.5,1.46,2.91,0.88,1.3,0.09,2.07,0.02,?
?,8.0,15.92,2.53,?,?,?,1.03,0.73,0.36,0.98,3.2,0.76,?,?,1.27,0.0,0.0
81.0,81.0,?,?,0.51,?,0.21,2.16,0.62,1.23,?,?,2.32,3.04,?,?,?,?
78.0,78.0,36.82,?,0.49,0.21,?,3.32,0.77,0.83,?,?,?,?,?,1.23,?,0.0
52.0,?,?,0.77,0.36,0.08,0.19,?,0.57,0.33,?,0.23,0.25,?,?,1.33,0.02,0.0
?,65.0,37.17,7.55,?,?,0.33,5.28,0.78,1.12,3.26,4.71,0.94,1.98,0.25,2.09,?,?
82.0,64.0,?,3.62,0.42,1.51,0.41,0.68,0.63,?,3.72,?,0.68,1.13,0.8,1.94,0.0,?
7.0,0.0,8.14,0.57,0.36,?,?,0.0,0.0,0.14,0.71,0.57,0.29,0.43,?,1.14,0.0,0.0
?,56.0,?,5.4,0.44,1.46,0.38,3.12,0.83,?,?,?,1.22,?,?,2.05,0.01,?
52.0,?,9.1,0.56,0.34,0.31,0.33,0.08,0.67,?,0.77,0.52,0.17,?,0.08,1.13,?,?
82.0,81.0,?,6.83,0.51,0.01,?,2.54,0.78,2.13,?,?,0.77,1.99,0.32,?,0.02,0.01
?,82.0,?,?,0.44,0.5,0.31,0.73,0.67,0.93,?,?,?,?,0.56,1.88,0.01,0.0
82.0,1.0,21.12,3.09,0.46,0.01,0.07,?,0.72,0.71,1.89,3.15,0.67,1.67,0.06,1.67,0.0,?
23.0,?,17.13,1.83,?,?,?,?,0.9,?,?,?,0.61,0.83,?,2.26,0.0,?
57.0,?,?,1.7,?,?,0.19,0.93,?,?,2.95,0.54,0.49,0.86,?,1.98,0.02,0.04
?,1.0,?,?,0.4,0.0,?,?,0.75,0.56,1.13,?,0.19,0.44,?,1.25,0.0,0.0
?,?,16.4,3.01,0.57,0.01,0.2,1.76,0.63,?,2.53,?,?,1.17,?,2.59,0.0,?
75.0,?,27.72,5.71,?,2.11,0.34,?,0.71,0.37,?,2.44,?,1.85,0.28,2.32,0.01,0.07
56.0,2.0,?,?,0.43,0.18,0.34,0.52,0.69,0.96,?,0.59,0.38,0.63,0.5,?,0.02,0.0
64.0,1.0,9.25,?,?,?,0.14,?,0.81,?,1.42,0.33,0.09,?,0.3,1.48,0.0,0.06
81.0,81.0,35.47,?,0.5,0.0,0.0,3.22,0.62,2.75,5.95,4.23,1.6,2.44,2.14,2.96,?,0.12
75.0,?,18.76,?,0.49,0.01,?,?,0.81,?,?,?,0.83,1.08,0.19,2.75,0.01,0.01
?,1.0,16.4,3.42,?,0.0,0.0,?,0.74,?,2.69,0.58,0.47,?,0.55,2.45,0.03,0.05
42.0,?,?,3.07,0.41,1.07,0.35,?,0.8,?,1.93,1.67,?,1.57,?,?,0.0,0.05
?,?,?,?,0.28,0.3,0.22,0.39,0.71,0.17,?,0.88,0.25,0.47,0.09,1.16,0.0,0.03
62.0,55.0,31.37,4.48,0.4,2.13,0.38,?,0.9,0.63,?,1.48,0.77,0.9,0.08,?,0.0,0.02
82.0,?,34.57,8.59,?,0.01,0.17,?,0.77,2.8,6.12,1.0,?,2.6,1.01,3.43,0.02,?
73.0,67.0,34.23,6.15,0.4,0.25,0.23,4.1,0.83,?,2.93,4.77,?,2.23,0.16,2.81,?,?
?,0.0,9.32,?,0.35,?,0.36,0.61,?,0.32,?,?,?,0.36,0.16,1.18,?,?
?,4.0,9.74,1.45,0.38,0.16,0.23,1.06,?,0.68,0.81,?,0.32,0.61,0.1,?,0.0,0.0
71.0,3.0,10.11,1.27,0.4,0.1,0.22,0.58,0.84,0.07,0.87,1.72,?,0.7,?,1.15,0.0,0.0
43.0,1.0,15.35,1.93,0.41,?,0.23,0.67,0.78,0.12,0.93,2.93,0.56,?,0.12,1.65,0.0,0.02
27.0,?,12.33,?,?,?,?,1.3,0.7,?,?,?,0.48,1.0,0.22,?,0.04,?
77.0,12.0,32.95,?,0.44,1.77,0.36,?,0.87,?,?,3.79,1.22,1.42,0.22,1.84,?,0.06
?,13.0,?,1.13,0.59,?,0.0,?,?,1.25,2.32,0.16,0.22,0.63,1.31,?,?,0.01
?,?,13.87,?,?,0.0,0.0,?,?,0.78,?,0.04,0.17,0.78,0.7,1.7,?,0.0
26.0,2.0,12.08,?,0.49,0.0,?,0.27,?,1.35,1.96,?,0.38,0.65,0.38,1.62,0.0,?
?,9.0,15.03,?,0.48,?,?,0.17,0.8,1.2,?,?,0.37,0.69,0.66,2.27,0.01,0.01
18.0,1.0,15.72,2.72,0.46,0.89,0.37,1.17,?,0.72,?,0.78,0.56,?,?,?,0.06,0.06
?,?,22.61,3.59,0.46,0.0,0.0,?,0.69,1.5,4.7,1.04,1.17,?,1.57,2.39,0.04,0.07
75.0,?,31.4,4.93,0.47,0.01,0.1,2.64,0.71,?,?,?,0.55,1.85,?,?,?,?
75.0,46.0,27.71,4.27,0.47,0.15,0.35,2.04,?,1.55,2.37,1.2,0.6,1.37,?,2.75,0.09,?
73.0,?,25.66,5.45,0.45,1.6,0.37,1.97,0.81,0.99,1.9,1.55,0.79,1.04,?,1.74,0.0,?
38.0,1.0,15.5,1.37,?,0.18,0.18,0.58,?,0.29,?,2.84,0.84,1.66,?,1.76,?,0.0
?,29.0,?,4.2,0.43,1.09,?,?,0.77,1.83,?,1.89,0.7,1.0,0.72,2.78,0.02,0.0
15.0,0.0,6.33,1.13,0.44,0.07,0.14,1.07,0.76,?,?,0.27,0.0,0.33,0.0,0.4,0.0,?
42.0,20.0,?,?,0.58,0.0,0.0,0.88,0.47,1.29,3.26,?,?,1.17,?,?,0.02,?
74.0,69.0,30.68,3.73,0.41,1.46,0.37,?,0.77,0.57,?,4.11,0.74,1.69,?,?,0.04,0.04
69.0,2.0,13.71,1.32,0.38,0.38,0.29,0.61,0.74,?,?,?,0.49,0.61,0.09,1.2,0.0,0.0
?,41.0,?,?,0.49,?,?,1.49,0.84,0.48,2.28,4.71,1.16,?,0.13,?,?,0.0
13.0,0.0,?,?,0.47,0.23,0.25,0.69,0.82,0.0,0.23,0.92,?,0.46,0.0,0.46,0.0,0.0
?,7.0,28.46,?,0.57,0.01,?,1.53,0.66,2.49,?,1.14,0.93,0.88,0.88,?,?,0.08
?,16.0,23.68,?,0.44,1.27,0.35,1.36,0.82,?,?,0.68,0.62,?,0.71,2.86,?,0.01
?,1.0,8.61,0.99,0.4,0.37,?,?,?,0.37,?,0.61,?,?,0.06,1.0,0.0,0.01
77.0,?,36.27,9.34,0.48,0.95,0.3,6.94,?,1.38,?,6.51,1.83,3.27,1.06,2.35,0.0,?
35.0,13.0,21.91,3.43,0.52,1.43,?,?,0.8,0.43,2.09,1.14,?,?,0.09,2.37,0.03,?
69.0,67.0,28.58,2.29,0.54,?,0.0,0.94,0.41,?,?,1.52,1.25,0.93,?,?,0.0,0.06
76.0,76.0,41.03,6.0,?,?,?,5.55,0.78,1.97,8.05,2.12,1.54,2.34,1.11,2.55,?,?
79.0,13.0,22.58,3.37,0.41,1.04,0.28,1.22,0.77,0.53,3.59,?,?,0.8,0.89,2.81,0.03,0.22
29.0,?,9.34,1.03,0.36,?,0.41,0.07,0.5,0.41,?,1.38,0.34,0.41,?,0.66,?,?
?,?,?,3.49,0.48,0.01,0.14,2.66,0.74,1.67,2.46,0.68,0.32,?,0.24,1.66,0.0,0.04
65.0,15.0,27.48,?,0.47,0.69,?,1.97,?,0.43,2.17,?,1.58,1.06,0.12,1.91,0.03,0.02
79.0,52.0,29.34,2.82,0.43,0.67,?,1.52,?,0.68,2.37,5.05,1.32,2.22,?,?,0.0,?
?,0.0,12.08,1.0,0.36,0.58,?,0.42,0.83,0.08,?,0.92,0.5,?,?,?,?,0.0
82.0,49.0,?,3.16,0.41,1.51,?,?,0.81,0.57,?,0.76,0.55,0.73,0.49,?,0.01,?
?,19.0,?,3.42,0.52,0.03,?,0.64,0.69,0.61,2.17,1.46,0.57,0.94,0.36,1.83,0.01,0.01
81.0,81.0,?,?,0.5,?,0.26,?,0.87,2.02,?,2.95,?,2.14,0.74,?,0.0,0.04
60.0,?,25.02,3.23,0.44,0.42,?,1.92,0.81,0.48,?,?,0.92,1.5,0.47,1.43,0.0,0.1
39.0,1.0,3.9,0.31,?,0.0,?,0.15,?,0.21,0.49,?,0.21,0.18,0.0,0.62,0.0,0.0
82.0,82.0,34.33,?,0.42,0.28,0.22,?,0.78,1.74,3.15,?,?,3.27,0.41,?,0.02,0.06
12.0,0.0,?,?,0.61,0.0,0.0,0.75,?,0.83,1.08,?,0.42,0.25,0.25,1.0,0.0,0.0
34.0,10.0,12.94,1.85,0.53,?,?,0.76,?,1.29,?,?,0.35,1.12,?,1.88,0.0,0.03
80.0,?,19.81,2.06,0.43,?,0.3,1.29,0.8,0.89,?,?,0.84,?,0.31,1.8,0.0,0.03
4.0,?,?,1.5,0.5,0.5,0.67,0.5,0.5,0.25,?,1.0,0.0,?,0.0,1.25,0.0,?
76.0,76.0,?,6.5,0.47,1.26,0.37,4.41,0.8,0.66,3.33,10.51,1.26,3.32,0.21,2.74,?,?
?,18.0,20.78,2.3,0.44,1.02,0.38,0.38,0.76,0.09,1.44,?,0.65,?,0.04,0.79,0.0,0.05
54.0,6.0,13.83,1.5,0.39,?,0.32,0.59,0.71,0.3,1.24,?,?,0.33,0.09,1.35,?,0.0
64.0,38.0,29.83,?,?,1.09,0.34,3.0,0.82,0.39,2.53,?,?,?,0.23,1.72,0.02,0.0
62.0,?,?,1.68,?,0.39,?,0.6,0.67,0.21,?,2.6,0.52,1.19,?,0.69,0.0,0.0
?,?,?,3.73,0.45,?,?,2.17,0.82,1.31,3.83,1.14,0.8,?,0.57,1.98,0.0,0.01
69.0,68.0,34.17,5.48,0.44,2.3,?,2.57,0.89,0.41,?,5.33,1.01,?,0.3,2.46,0.01,0.07
24.0,?,32.46,?,?,1.38,?,2.17,0.84,0.75,?,2.75,0.92,?,0.25,2.04,0.0,?
20.0,0.0,11.35,1.05,?,0.0,?,?,0.53,1.05,1.25,0.05,0.4,?,?,?,0.05,0.0
54.0,0.0,11.06,1.17,0.52,?,0.0,?,?,?,1.81,0.39,?,?,0.39,?,0.0,?
78.0,9.0,?,3.35,0.4,0.4,0.31,1.32,0.72,0.59,3.87,?,0.55,1.59,0.13,?,0.0,0.0
?,?,?,2.42,0.41,?,0.34,?,0.69,0.57,2.27,1.06,0.45,?,?,2.01,?,0.07
72.0,1.0,?,2.69,?,0.85,0.39,?,?,0.69,?,?,0.74,?,?,1.31,0.0,?
?,14.0,12.82,1.71,0.5,0.03,?,0.37,?,0.85,?,?,0.43,?,0.26,0.66,0.0,0.0
74.0,?,19.27,3.15,?,0.93,0.41,1.41,0.8,?,?,0.65,0.36,0.76,0.11,1.99,0.0,0.0
80.0,?,16.51,2.8,0.45,0.14,0.2,1.7,0.78,?,?,0.65,?,1.18,?,?,0.0,0.01
67.0,45.0,31.99,5.7,0.47,0.72,0.35,?,?,?,3.3,?,?,1.88,?,?,0.0,0.01
